sigma3,eps1,sig1,eps3
1,0.0096,54.82779316,-0.018249047
1,0.0099,52.45451714,-0.019001497
1,0.0102,50.23032076,-0.019752125
1,0.0105,48.14608976,-0.020500989
1,0.0108,46.19284613,-0.021248143
1,0.0111,44.36189362,-0.021993641
1,0.0114,42.64491203,-0.022737532
1,0.0117,41.0340137,-0.023479861
1,0.012,39.52177292,-0.024220674
1,0.0123,38.10123577,-0.024960011
1,0.0126,36.7659165,-0.025697912
1,0.0129,35.50978465,-0.026434415
1,0.0132,34.32724618,-0.027169556
1,0.0135,33.21312087,-0.027903368
1,0.0138,32.16261782,-0.028635884
1,0.0141,31.17131005,-0.029367135
1,0.0144,30.23510923,-0.030097151
1,0.0147,29.35024093,-0.030825959
1,0.015,28.51322093,-0.031553587
1,0.0153,27.72083272,-0.032280061
1,0.0156,26.97010634,-0.033005406
1,0.0159,26.2582986,-0.033729645
1,0.0162,25.58287477,-0.034452802
1,0.0165,24.94149161,-0.035174898
1,0.0168,24.33198167,-0.035895955
1,0.0171,23.75233896,-0.036615993
1,0.0174,23.2007057,-0.037335032
1,0.0177,22.67536024,-0.038053091
1,0.018,22.17470594,-0.038770187
1,0.0183,21.69726107,-0.039486339
1,0.0186,21.24164949,-0.040201564
1,0.0189,20.80659221,-0.040915878
1,0.0192,20.39089961,-0.041629296
1,0.0195,19.99346439,-0.042341835
1,0.0198,19.61325506,-0.043053509
1,0.0201,19.24931003,-0.043764333
1,0.0204,18.90073223,-0.04447432
1,0.0207,18.56668409,-0.045183485
1,0.021,18.24638308,-0.045891839
1,0.0213,17.93909749,-0.046599397
1,0.0216,17.64414267,-0.047306169
1,0.0219,17.3608775,-0.048012169
1,0.0222,17.08870125,-0.048717408
1,0.0225,16.82705058,-0.049421897
1,0.0228,16.57539685,-0.050125647
1,0.0231,16.33324368,-0.050828668
1,0.0234,16.10012463,-0.051530972
1,0.0237,15.8756011,-0.052232569
1,0.024,15.65926041,-0.052933468
1,0.0243,15.45071403,-0.053633678
1,0.0246,15.24959588,-0.05433321
1,0.0249,15.05556087,-0.055032071
1,0.0252,14.86828347,-0.055730272
1,0.0255,14.68745642,-0.056427821
1,0.0258,14.51278953,-0.057124726
1,0.0261,14.34400855,-0.057820995
1,0.0264,14.1808542,-0.058516637
1,0.0267,14.02308114,-0.059211659
1,0.027,13.87045714,-0.059906068
1,0.0273,13.72276226,-0.060599874
1,0.0276,13.57978805,-0.061293082
1,0.0279,13.44133688,-0.0619857
1,0.0282,13.30722126,-0.062677735
1,0.0285,13.17726323,-0.063369193
1,0.0288,13.05129382,-0.064060082
1,0.0291,12.92915246,-0.064750408
1,0.0294,12.81068654,-0.065440176
1,0.0297,12.69575092,-0.066129395
1.5,0,1.5,0
1.5,0.0003,14.19376937,-1.56E-06
1.5,0.0006,26.87481108,-1.25E-05
1.5,0.0009,39.49673853,-4.22E-05
1.5,0.0012,51.96339598,-0.000100078
1.5,0.0015,64.12066891,-0.000195465
1.5,0.0018,75.7555426,-0.000337764
1.5,0.0021,86.60451602,-0.000536356
1.5,0.0024,96.37304383,-0.000800625
1.5,0.0027,104.7655866,-0.001139952
1.5,0.003,111.5225679,-0.001563721
1.5,0.0033,116.4572559,-0.002081312
1.5,0.0036,119.4840089,-0.002702109
1.5,0.0039,120.6307439,-0.003435494
1.5,0.0042,120.1969415,-0.004242473
1.5,0.0045,118.6583456,-0.00504602
1.5,0.0048,116.2321338,-0.005845221
1.5,0.0051,113.125683,-0.006640375
1.5,0.0054,109.5288023,-0.007431742
1.5,0.0057,105.6066698,-0.008219554
1.5,0.006,101.4970375,-0.009004017
1.5,0.0063,97.31053032,-0.009785314
1.5,0.0066,93.13289041,-0.01056361
1.5,0.0069,89.02822199,-0.011339056
1.5,0.0072,85.0425619,-0.012111788
1.5,0.0075,81.20734413,-0.01288193
1.5,0.0078,77.54252078,-0.013649595
1.5,0.0081,74.05923688,-0.014414888
1.5,0.0084,70.76204128,-0.015177907
1.5,0.0087,67.65066451,-0.015938739
1.5,0.009,64.72141696,-0.016697469
1.5,0.0093,61.96826812,-0.017454172
1.5,0.0096,59.38366567,-0.018208921
1.5,0.0099,56.95914731,-0.018961783
1.5,0.0102,54.68579031,-0.01971282
1.5,0.0105,52.55453566,-0.020462092
1.5,0.0108,50.55641684,-0.021209654
1.5,0.0111,48.68271648,-0.021955558
1.5,0.0114,46.9250695,-0.022699853
1.5,0.0117,45.27552656,-0.023442587
1.5,0.012,43.72658876,-0.024183802
1.5,0.0123,42.27122174,-0.024923541
1.5,0.0126,40.9028551,-0.025661844
1.5,0.0129,39.61537197,-0.026398747
1.5,0.0132,38.40309189,-0.027134286
1.5,0.0135,37.2607495,-0.027868497
1.5,0.0138,36.18347095,-0.02860141
1.5,0.0141,35.16674916,-0.029333057
1.5,0.0144,34.20641896,-0.030063468
1.5,0.0147,33.29863259,-0.030792671
1.5,0.015,32.43983618,-0.031520693
1.5,0.0153,31.62674725,-0.032247561
1.5,0.0156,30.85633349,-0.032973298
1.5,0.0159,30.12579301,-0.033697929
1.5,0.0162,29.4325358,-0.034421476
1.5,0.0165,28.77416667,-0.035143963
1.5,0.0168,28.14846943,-0.035865409
1.5,0.0171,27.55339232,-0.036585836
1.5,0.0174,26.98703469,-0.037305263
1.5,0.0177,26.4476347,-0.038023709
1.5,0.018,25.93355803,-0.038741192
1.5,0.0183,25.44328768,-0.03945773
1.5,0.0186,24.97541445,-0.04017334
1.5,0.0189,24.52862837,-0.040888039
1.5,0.0192,24.10171081,-0.041601842
1.5,0.0195,23.69352723,-0.042314764
1.5,0.0198,23.30302067,-0.043026821
1.5,0.0201,22.9292056,-0.043738028
1.5,0.0204,22.57116251,-0.044448397
1.5,0.0207,22.22803278,-0.045157942
1.5,0.021,21.89901409,-0.045866678
1.5,0.0213,21.58335616,-0.046574615
1.5,0.0216,21.28035689,-0.047281768
1.5,0.0219,20.98935875,-0.047988147
1.5,0.0222,20.70974557,-0.048693764
1.5,0.0225,20.44093948,-0.049398631
1.5,0.0228,20.18239817,-0.050102759
1.5,0.0231,19.93361238,-0.050806158
1.5,0.0234,19.69410352,-0.051508838
1.5,0.0237,19.46342154,-0.052210811
1.5,0.024,19.24114298,-0.052912085
1.5,0.0243,19.02686907,-0.053612671
1.5,0.0246,18.82022415,-0.054312577
1.5,0.0249,18.62085401,-0.055011813
1.5,0.0252,18.42842451,-0.055710388
1.5,0.0255,18.24262028,-0.05640831
1.5,0.0258,18.0631434,-0.057105588
1.5,0.0261,17.88971237,-0.05780223
1.5,0.0264,17.72206098,-0.058498244
1.5,0.0267,17.55993736,-0.059193637
1.5,0.027,17.40310309,-0.059888418
1.5,0.0273,17.25133232,-0.060582595
1.5,0.0276,17.10441104,-0.061276173
