sig3,eps1,sig1,eps3
15,0.001254739,64.89710195,-4.48799E-05
15,0.001331187,69.74123963,-4.48799E-05
15,0.001486814,75.73439109,-0.000159552
15,0.001601486,81.25749146,-0.000274224
15,0.001699777,86.78059183,-0.000274224
15,0.001778409,92.55438611,-0.000331561
15,0.001870147,97.21572614,-0.000331561
15,0.001984819,102.8641735,-0.000369785
15,0.002158466,108.8729933,-0.000369785
15,0.002191229,114.1610681,-0.000388897
15,0.002363238,119.2794023,-0.000388897
15,0.002443508,124.5256948,-0.000388897
15,0.002535246,130.955602,-0.000388897
15,0.002707254,136.1881847,-0.000388897
15,0.002821927,141.4893165,-0.000388897
15,0.003008269,147.5444886,-0.000388897
15,0.003141371,152.4310614,-0.000522681
15,0.003248762,158.6722954,-0.000560905
15,0.003354334,164.1431679,-0.000560905
15,0.003395288,169.0917614,-0.000560905
15,0.003567296,174.792763,-0.000560905
15,0.003813023,179.5765122,-0.000560905
15,0.003911313,183.4779363,-0.000560905
15,0.004107894,187.6848936,-0.000560905
15,0.004312666,193.8151433,-0.000618241
15,0.004507609,198.7232601,-0.000618241
15,0.004714019,204.1660601,-0.000618241
15,0.004943364,208.758851,-0.000618241
15,0.005172708,212.5976016,-0.000618241
15,0.005402053,216.2307049,-0.000618241
15,0.005660065,219.795259,-0.000675577
15,0.005975414,223.4740617,-0.000732913
15,0.006376767,226.7872691,-0.000732913
15,0.006950128,230.6488694,-0.00079025
15,0.007638162,231.8827535,-0.000818918
15,0.008326195,231.4257594,-0.000847586
15,0.008899557,229.4606847,-0.000847586
15,0.00930091,226.0332288,-0.000904922
15,0.00958759,222.3315764,-0.000904922
15,0.00992014,218.7944419,-0.000962258
15,0.010218288,213.5572893,-0.000962258
15,0.010493501,208.8685296,-0.00107693
15,0.010676977,204.7373027,-0.001134266
15,0.010906321,200.6243557,-0.001271873
15,0.011479683,197.5167956,-0.001478283
15,0.011995708,194.5691836,-0.001478283
15,0.012397061,191.3016756,-0.002108981
15,0.012626405,187.3029771,-0.002166317
15,0.01285575,182.7101862,-0.002788823
15,0.013085094,178.0488461,-0.003141031
15,0.013360308,176.6778638,-0.003829065
15,0.014059809,177.9117479,-0.004517098
15,0.014747842,174.3471938,-0.005205132
